year,merchant_unserved_gwh,merchant_times_standard,esem_unserved_gwh,esem_times_standard,lane_volume_mw,reserve_margin_gap_mw,awarded_mw,scheme_cost,levy_per_mwh,merchant_mean_price,esem_mean_price
2026,0.2979,0.21,0.2979,0.21,3711,6254,3400,0,0.5339,46.4,46.4
2027,7.6882,5.15,7.6882,5.15,0,6729,0,0,0.5019,74.45,74.45
2028,0.0,0.0,0.0,0.0,0,6343,0,0,0.4825,45.35,45.35
2029,2.3233,1.48,0.0,0.0,2148,8126,3000,52837942,0.4775,95.31,86.38
2030,4.1659,2.58,0.0,0.0,0,8649,0,0,0.4644,92.48,72.57
2031,0.0,0.0,0.0,0.0,247,8313,250,9179826,-0.1719,66.39,59.81
2032,0.0,0.0,0.0,0.0,246,7806,300,11920,0.5267,63.39,52.62
2033,1.7657,0.96,1.6335,0.89,560,10204,700,0,0.5025,97.13,93.4
2034,10.507,5.51,0.5543,0.29,811,10476,1000,0,1.3347,105.96,82.02
2035,4.2289,2.13,0.1848,0.09,0,11564,0,0,5.0957,97.73,110.19
2036,0.0,0.0,0.0,0.0,0,11469,0,0,4.8831,94.36,106.61
2037,0.0,0.0,0.0,0.0,0,11061,0,0,4.806,85.66,83.15
2038,0.0058,0.0,0.0,0.0,0,11739,0,0,4.79,86.99,87.73
2039,4.5953,1.94,0.0,0.0,590,11374,750,0,4.6709,122.97,81.7
2040,0.0,0.0,0.0,0.0,1836,12098,2500,0,4.5742,88.77,77.53
2041,0.0,0.0,0.0,0.0,960,12845,1250,0,4.9338,86.27,86.42
2042,0.0,0.0,0.0,0.0,674,12590,800,0,3.1321,99.95,109.32
2043,0.0,0.0,0.0,0.0,0,13033,0,0,4.5475,91.67,100.18
2044,0.0,0.0,0.0,0.0,0,12385,0,0,2.9917,94.05,98.19
2045,0.0,0.0,0.0,0.0,669,12171,800,0,2.4503,88.88,88.36
