seed,growth_path,annual_growth,merchant_unserved_gwh,esem_unserved_gwh,merchant_bill,esem_bill,merchant_resource_cost,esem_resource_cost,awarded_mw,levy_total,transfer
20260904,high,0.033,32.609,10.996,134793235587,126536656971,136285199223,136815540919,13750,3254664312,8786920312
20260101,low,0.005,1.249,1.727,76655778667,74269477581,91711427432,96138048470,5250,2080165540,6812922124
19990101,central,0.019,20.344,8.164,106854717427,96491350632,110273203141,113437678430,7300,2482175172,13527842085
7,central,0.019,16.784,9.368,104040179315,99998987178,110059816519,111282289467,8600,5537365930,5263665085
424242,central,0.019,10.034,6.136,102259813041,100814910147,110628281539,109960294813,10600,3329705809,776916168
20301231,central,0.019,12.15,13.36,98996823530,92601257671,114050119950,113420336300,6900,1482844810,5765782208
111,low,0.005,6.763,8.668,77330907552,89071550084,94074141748,93037237010,4950,5318084345,-12777547270
20260606,central,0.019,22.405,10.98,108022202548,94795426357,109252269083,113015570091,7700,3695815021,16990077198
98765,low,0.005,12.186,7.219,74433143915,80558336286,92813238528,94141689453,5500,5507182020,-4796741445
31415926,high,0.033,37.112,8.633,149061895544,120892336428,131400447284,136327429280,9150,868109122,33096541113
